user_id,event_id
648,1
648,2
648,3
648,4
648,5
648,6
648,7
648,8
648,9
648,16
648,17
648,18
648,19
648,20
648,21
648,22
648,23
648,24
648,25
648,26
648,27
648,28
648,31
648,32
648,33
648,34
648,35
648,36
648,37
648,38
648,39
648,40
648,41
648,42
648,43
648,44
648,45
648,46
648,70
648,79
648,80
648,81
648,82
648,83
648,86
648,87
648,88
648,89
648,90
648,91
648,92
648,93
648,94
648,95
648,96
648,97
648,98
648,99
648,100
648,101
648,102
648,103
648,104
648,105
648,106
648,107
648,108
648,109
648,110
648,111
648,112
648,113
648,114
648,115
648,116
648,117
648,118
648,119
648,126
648,146
648,147
648,156
648,157
648,158
648,159
648,160
648,161
648,162
648,163
648,164
648,165
648,166
648,167
648,168
648,169
648,176
648,177
648,178
648,179
648,180
648,181
648,182
648,183
648,184
648,185
648,186
648,187
648,188
648,189
648,190
648,191
648,192
648,193
648,200
648,201
648,202
648,214
648,215
648,216
648,217
648,218
648,219
648,220
648,232
648,233
648,236
648,237
648,238
648,239
648,240
648,241
648,242
648,243
648,244
648,245
648,246
648,248
